zone,status,cuisine,guests
East,Medium,Asian,10
West,Medium,European,4
West,Luxury,African,10
North,Medium,SouthIndian,6
West,Medium,African,8
North,Luxury,Asian,1
West,Medium,NorthIndian,6
West,Luxury,European,3
North,Economy,Vegan,6
South,Medium,Vegan,7
West,Economy,SouthIndian,4
East,Economy,African,8
East,Luxury,Vegetarian,1
East,Medium,Vegetarian,2
South,Medium,African,9
East,Medium,African,5
North,Luxury,Vegan,7
East,Luxury,NorthIndian,4
North,Medium,Vegan,3
South,Economy,European,8
North,Medium,European,10
East,Medium,SouthIndian,4
East,Economy,Vegan,10
North,Economy,European,3
South,Economy,European,8
North,Medium,African,4
West,Luxury,Vegetarian,5
North,Medium,SouthIndian,2
South,Luxury,NorthIndian,4
East,Medium,NorthIndian,3
West,Economy,Asian,6
North,Medium,Vegetarian,7
East,Medium,NorthIndian,5
West,Economy,European,8
South,Medium,NorthIndian,8
East,Luxury,SouthIndian,8
South,Luxury,Vegan,5
West,Medium,African,9
West,Luxury,SouthIndian,9
West,Economy,Vegetarian,5
East,Medium,Vegan,4
East,Economy,SouthIndian,1
West,Luxury,Vegetarian,2
West,Economy,Vegetarian,7
South,Economy,European,9
West,Medium,African,7
South,Medium,European,6
South,Economy,SouthIndian,3
South,Luxury,Vegan,10
South,Economy,Asian,2
South,Medium,African,6
East,Economy,European,5
East,Luxury,NorthIndian,4
East,Luxury,Vegetarian,2
North,Medium,European,10
North,Luxury,Vegan,1
South,Economy,Vegetarian,3
South,Economy,Vegetarian,5
South,Luxury,SouthIndian,3
East,Luxury,African,3
West,Economy,SouthIndian,3
North,Medium,Asian,5
West,Economy,NorthIndian,3
North,Luxury,Vegetarian,7
North,Luxury,African,6
North,Luxury,NorthIndian,10
West,Medium,Vegan,1
East,Economy,African,1
East,Medium,Vegan,5
South,Economy,Vegetarian,4
West,Medium,African,9
East,Luxury,SouthIndian,2
West,Economy,Asian,9
East,Economy,Vegan,1
East,Medium,Vegetarian,5
East,Economy,NorthIndian,6
North,Economy,European,1
East,Luxury,Asian,3
North,Economy,SouthIndian,6
East,Medium,Asian,8
South,Luxury,Vegetarian,5
South,Economy,NorthIndian,1
South,Economy,NorthIndian,3
West,Economy,African,4
West,Medium,African,10
North,Luxury,African,3
West,Luxury,Vegan,4
North,Luxury,NorthIndian,4
East,Luxury,African,9
North,Economy,Vegan,4
West,Economy,European,8
West,Economy,SouthIndian,2
South,Luxury,European,8
South,Luxury,SouthIndian,9
South,Economy,African,10
East,Medium,NorthIndian,6
South,Luxury,Vegan,8
East,Economy,Asian,5
South,Economy,Asian,3
North,Economy,NorthIndian,9
West,Economy,Vegetarian,7
East,Luxury,SouthIndian,10
West,Economy,NorthIndian,7
North,Luxury,European,4
North,Economy,African,1
South,Medium,SouthIndian,5
South,Luxury,Vegetarian,4
West,Luxury,NorthIndian,5
West,Luxury,NorthIndian,8
South,Luxury,Vegan,9
North,Economy,Vegan,4
East,Luxury,European,9
East,Luxury,Vegan,1
West,Luxury,European,7
North,Luxury,Vegan,6
West,Luxury,African,6
North,Medium,European,1
South,Economy,European,10
East,Economy,SouthIndian,8
South,Luxury,European,7
East,Luxury,African,5
East,Economy,Vegetarian,7
West,Medium,NorthIndian,7
North,Luxury,African,10
East,Economy,Asian,6
South,Economy,Asian,2
North,Luxury,African,2
North,Luxury,African,1
West,Luxury,African,1
East,Luxury,Vegan,8
North,Luxury,SouthIndian,4
North,Economy,Vegan,7
West,Economy,European,7
North,Luxury,Vegetarian,4
North,Medium,Asian,3
East,Economy,NorthIndian,10
South,Medium,Asian,6
South,Economy,Vegetarian,8
West,Economy,European,3
West,Medium,NorthIndian,10
South,Medium,NorthIndian,2
East,Medium,European,7
North,Economy,Asian,6
South,Economy,Vegan,3
East,Economy,European,9
North,Economy,European,1
West,Medium,SouthIndian,2
West,Medium,European,3
South,Economy,Asian,3
West,Economy,Asian,1
West,Medium,SouthIndian,6
South,Economy,NorthIndian,1
West,Medium,SouthIndian,4
North,Economy,European,6
West,Medium,Vegetarian,2
North,Luxury,Asian,8
West,Luxury,NorthIndian,6
North,Medium,NorthIndian,1
North,Luxury,European,3
West,Medium,Asian,5
West,Economy,Asian,10
North,Medium,Asian,2
South,Economy,African,6
North,Luxury,Asian,1
West,Medium,African,6
West,Economy,European,1
East,Medium,European,3
East,Luxury,European,7
North,Luxury,Vegetarian,7
East,Medium,Asian,5
East,Economy,Asian,6
East,Medium,African,10
East,Economy,African,7
East,Economy,Vegetarian,1
East,Medium,NorthIndian,1
South,Luxury,Asian,2
South,Economy,Vegan,2
East,Economy,SouthIndian,7
East,Economy,Vegan,9
South,Medium,African,10
East,Economy,Vegetarian,4
North,Luxury,Asian,2
East,Economy,Asian,8
West,Luxury,SouthIndian,6
South,Economy,SouthIndian,6
West,Economy,NorthIndian,7
South,Luxury,European,2
East,Luxury,Asian,4
North,Medium,Asian,9
East,Medium,Asian,9
East,Medium,Asian,5
South,Luxury,Vegan,9
North,Luxury,European,6
East,Economy,NorthIndian,5
North,Economy,Vegan,6
North,Luxury,European,1
East,Medium,NorthIndian,3
North,Medium,Vegetarian,1
East,Economy,African,8
East,Luxury,SouthIndian,10
South,Medium,African,5
North,Medium,Vegan,5
South,Economy,African,7
East,Economy,European,7
North,Medium,NorthIndian,5
West,Luxury,European,7
East,Economy,NorthIndian,8
North,Medium,Asian,10
North,Luxury,SouthIndian,7
East,Economy,Vegan,3
East,Economy,NorthIndian,4
South,Luxury,European,2
West,Medium,NorthIndian,9
East,Medium,Asian,6
East,Economy,SouthIndian,9
South,Luxury,SouthIndian,8
North,Medium,European,9
East,Economy,SouthIndian,4
West,Luxury,European,5
East,Medium,NorthIndian,4
East,Economy,Asian,7
East,Economy,SouthIndian,6
North,Medium,African,6
South,Economy,SouthIndian,9
North,Luxury,SouthIndian,2
East,Luxury,NorthIndian,9
West,Medium,Vegetarian,2
West,Medium,European,7
South,Medium,Vegan,3
North,Luxury,NorthIndian,10
North,Medium,SouthIndian,2
North,Economy,Asian,7
East,Economy,Vegetarian,4
West,Economy,NorthIndian,2
North,Economy,Vegetarian,6
East,Economy,NorthIndian,1
South,Luxury,Vegan,9
East,Economy,African,1
South,Medium,SouthIndian,7
North,Luxury,NorthIndian,4
East,Medium,Vegan,5
East,Economy,Vegan,1
East,Economy,NorthIndian,7
North,Medium,Vegan,5
East,Luxury,Vegan,10
North,Luxury,Vegan,8
South,Economy,Vegetarian,7
South,Luxury,Vegan,10
West,Economy,European,8
South,Luxury,European,7
West,Luxury,European,6
West,Economy,Vegan,1
East,Economy,African,1
West,Medium,Vegan,4
South,Economy,Vegetarian,8
West,Luxury,Vegan,9
West,Luxury,Asian,8
East,Economy,Vegetarian,1
East,Luxury,Vegan,7
North,Luxury,SouthIndian,3
North,Economy,NorthIndian,3
South,Medium,NorthIndian,10
West,Economy,European,2
North,Medium,Vegetarian,4
West,Luxury,NorthIndian,1
West,Medium,Asian,8
North,Economy,Asian,5
West,Economy,NorthIndian,7
West,Luxury,Asian,6
East,Medium,SouthIndian,3
South,Medium,Asian,1
East,Luxury,Asian,1
South,Luxury,Asian,6
North,Luxury,European,1
West,Medium,SouthIndian,1
East,Economy,Asian,9
South,Luxury,SouthIndian,9
South,Economy,Asian,1
East,Medium,Asian,6
East,Medium,Asian,2
West,Luxury,Vegetarian,10
East,Luxury,Asian,8
West,Economy,NorthIndian,8
East,Medium,SouthIndian,4
North,Economy,SouthIndian,5
South,Luxury,SouthIndian,3
West,Luxury,Vegan,10
South,Economy,SouthIndian,6
South,Luxury,SouthIndian,3
North,Economy,Vegan,9
South,Luxury,European,10
East,Medium,Asian,7
West,Luxury,SouthIndian,10
East,Medium,African,6
South,Medium,NorthIndian,4
West,Medium,African,5
West,Medium,African,4
South,Medium,African,9
South,Luxury,SouthIndian,9
South,Medium,NorthIndian,10
South,Medium,African,10
South,Medium,Vegetarian,7
North,Economy,Vegetarian,9
East,Luxury,European,3
West,Luxury,NorthIndian,5
South,Economy,NorthIndian,1
East,Economy,NorthIndian,9
West,Medium,NorthIndian,2
West,Luxury,African,6
North,Economy,Vegetarian,5
West,Luxury,NorthIndian,9
South,Economy,NorthIndian,2
South,Luxury,European,6
West,Economy,Vegetarian,2
West,Luxury,European,10
North,Luxury,Asian,7
West,Luxury,European,2
West,Medium,Asian,6
West,Medium,Vegan,10
West,Luxury,African,3
West,Medium,Vegan,2
North,Luxury,African,6
East,Medium,Vegetarian,9
East,Economy,Vegetarian,10
West,Economy,European,2
West,Medium,European,5
West,Luxury,Vegan,8
South,Luxury,African,10
North,Economy,Vegan,7
East,Economy,Vegetarian,5
West,Luxury,Vegan,5
South,Luxury,Asian,2
West,Economy,NorthIndian,2
South,Luxury,European,2
East,Luxury,European,2
East,Medium,Vegan,10
East,Medium,NorthIndian,7
East,Medium,Asian,7
North,Medium,Asian,7
South,Medium,NorthIndian,9
North,Luxury,African,5
South,Medium,Vegan,2
South,Medium,African,1
North,Economy,African,3
South,Medium,African,10
South,Economy,Vegan,4
East,Luxury,SouthIndian,1
West,Medium,NorthIndian,4
East,Luxury,European,4
South,Luxury,SouthIndian,7
East,Luxury,NorthIndian,6
North,Luxury,Asian,1
West,Medium,SouthIndian,1
North,Luxury,SouthIndian,10
South,Luxury,European,1
South,Economy,Vegan,5
South,Medium,Vegetarian,2
West,Economy,African,3
North,Luxury,Asian,10
South,Economy,Vegetarian,6
South,Economy,NorthIndian,7
North,Luxury,African,9
East,Medium,Asian,6
East,Medium,Asian,6
North,Luxury,African,1
South,Economy,Vegan,1
North,Medium,European,6
North,Economy,Asian,8
West,Economy,European,3
West,Luxury,Vegan,7
South,Medium,European,7
West,Economy,African,6
South,Luxury,NorthIndian,8
North,Economy,African,8
East,Medium,SouthIndian,10
West,Luxury,Asian,6
East,Medium,SouthIndian,9
South,Luxury,European,9
South,Economy,Asian,4
West,Luxury,European,10
North,Luxury,Vegetarian,4
North,Economy,African,4
South,Luxury,Asian,4
West,Economy,African,5
West,Medium,Vegetarian,6
South,Medium,Vegetarian,2
East,Economy,SouthIndian,9
East,Luxury,European,2
South,Luxury,Vegetarian,3
South,Luxury,European,5
East,Economy,European,7
East,Economy,Vegetarian,9
West,Medium,European,4
North,Medium,NorthIndian,6
East,Economy,European,5
East,Luxury,Vegan,10
West,Economy,Vegan,9
West,Economy,Asian,4
West,Medium,SouthIndian,4
South,Medium,Vegan,8
West,Medium,European,9
North,Luxury,African,1
South,Medium,SouthIndian,8
South,Economy,SouthIndian,2
East,Economy,African,2
East,Medium,SouthIndian,3
South,Economy,Asian,10
South,Medium,Asian,7
West,Luxury,Asian,1
West,Luxury,African,8
North,Economy,Vegan,9
