CarNum,numofseats,numofbags,type,When
TS 62 ND 7272,2,eight,Hatchback,Later
TS 92 BK 9119,7,eight,Hatchback,Later
TS 39 EG 8252,3,seven,Hatchback,Later
TS 5 RD 1473,5,seven,SUV,Now
TS 37 DK 2891,8,one,SUV,Later
TS 56 WT 1356,4,three,SUV,Now
TS 32 BY 4427,4,three,SUV,Now
TS 1 BA 21103,7,six,SUV,Later
TS 57 OE 9569,7,five,Hatchback,Later
TS 51 SH 7317,6,two,Hatchback,Now
TS 37 OV 8767,3,eight,Sedan,Now
TS 87 CJ 61046,6,two,Hatchback,Now
TS 22 TP 4182,7,five,SUV,Later
TS 28 QR 5222,4,six,SUV,Now
TS 88 SQ 9474,3,six,SUV,Now
TS 54 OM 9664,3,seven,Hatchback,Later
TS 98 JJ 81054,4,five,Hatchback,Now
TS 18 CC 8131,8,eight,SUV,Later
TS 17 SM 3793,7,three,Sedan,Now
TS 67 JA 51110,6,eight,Hatchback,Now
TS 69 MW 3789,3,five,Sedan,Later
TS 20 VK 2721,5,five,SUV,Later
TS 58 EU 9183,7,five,SUV,Later
TS 34 FD 2833,5,three,Sedan,Now
TS 91 KI 71066,6,two,Hatchback,Now
TS 84 GS 9251,6,one,SUV,Now
TS 93 DT 7167,7,seven,SUV,Now
TS 35 LY 3314,3,three,SUV,Later
TS 47 NR 810106,2,four,Hatchback,Later
TS 3 PJ 34102,3,two,SUV,Later
TS 45 KR 101084,5,five,SUV,Now
TS 57 HP 91019,3,five,Hatchback,Now
TS 28 DQ 6287,8,four,SUV,Later
TS 47 BP 28310,5,four,SUV,Later
TS 2 FY 71023,8,three,Sedan,Now
TS 24 HO 181010,8,four,SUV,Later
TS 36 SZ 3287,3,seven,Sedan,Later
TS 26 CV 611010,7,eight,Sedan,Now
TS 4 OY 9388,8,eight,Sedan,Now
TS 25 QM 810105,8,three,Sedan,Later
TS 90 KH 10859,3,six,Hatchback,Later
TS 93 NH 101082,4,seven,SUV,Later
TS 58 RH 92109,7,two,SUV,Later
TS 92 FV 6635,7,seven,Hatchback,Later
TS 54 QQ 1362,5,six,Sedan,Now
TS 60 CG 99910,2,eight,Hatchback,Now
TS 49 OW 2957,4,six,Hatchback,Later
TS 41 TR 17710,6,two,Hatchback,Now
TS 100 QK 610710,5,six,SUV,Now
TS 70 AE 5434,5,five,Hatchback,Later
TS 41 RN 6836,2,one,SUV,Now
TS 50 PP 5264,4,eight,SUV,Later
TS 40 YN 24110,5,eight,Hatchback,Later
TS 10 CI 2211,2,two,Sedan,Later
TS 64 MI 81057,8,three,Sedan,Now
TS 89 FZ 51110,6,eight,SUV,Later
TS 88 ZS 1573,7,one,Hatchback,Later
TS 52 KC 1715,4,six,Hatchback,Later
TS 58 SK 3644,7,two,SUV,Now
TS 36 IL 2868,5,two,SUV,Later
TS 15 WN 3776,5,eight,SUV,Now
TS 49 KE 4249,6,five,SUV,Now
TS 76 TC 6484,5,eight,SUV,Now
TS 58 JY 4851,5,seven,SUV,Later
TS 97 LD 10851,3,five,Hatchback,Now
TS 41 GO 3226,3,seven,SUV,Now
TS 32 DK 66105,3,six,Sedan,Later
TS 3 MM 21051,4,six,Sedan,Now
TS 93 XQ 9642,7,two,Sedan,Now
TS 51 CQ 98104,8,five,Hatchback,Later
TS 64 QB 3448,2,two,Hatchback,Now
TS 54 CS 95110,8,two,Hatchback,Later
TS 4 HH 1381,7,seven,Hatchback,Later
TS 17 US 3813,5,eight,Sedan,Now
TS 69 TM 6817,7,one,Sedan,Now
TS 54 QR 72110,8,one,Hatchback,Later
TS 69 XL 36108,8,eight,Hatchback,Later
TS 20 WM 1215,5,three,Hatchback,Later
TS 99 CA 8218,2,six,Sedan,Now
TS 18 QE 8446,7,three,Sedan,Later
TS 63 TP 9773,4,one,SUV,Now
TS 51 WK 2695,7,six,Hatchback,Now
TS 97 ZL 8225,4,one,Sedan,Later
TS 53 WF 49108,6,six,Sedan,Now
TS 50 TR 6299,7,five,Sedan,Now
TS 91 NV 3934,8,three,Sedan,Now
TS 75 RI 8995,6,five,SUV,Later
TS 26 CV 9721,8,seven,Sedan,Later
TS 71 QP 9134,2,three,SUV,Now
TS 43 YJ 1010104,8,six,Hatchback,Later
TS 71 UL 71086,6,six,Sedan,Later
TS 95 FF 9793,8,six,Sedan,Now
TS 84 MZ 92102,5,eight,SUV,Now
TS 99 JY 3725,3,one,Sedan,Later
TS 61 VM 9358,7,four,Sedan,Now
TS 59 HC 5757,8,three,SUV,Later
TS 42 EE 86510,8,four,Hatchback,Later
TS 4 WS 1344,2,one,Hatchback,Now
TS 58 UM 7257,6,one,Sedan,Now
TS 24 UO 8846,7,one,Hatchback,Later
TS 79 AX 5134,5,four,SUV,Later
TS 81 GI 6457,8,four,SUV,Later
TS 91 QA 1714,7,three,Hatchback,Later
TS 50 TE 7965,4,one,SUV,Later
TS 54 TI 101056,7,four,Sedan,Now
TS 27 ED 7585,6,four,Sedan,Now
TS 17 KB 5544,6,five,Sedan,Later
TS 42 CT 6375,8,eight,Hatchback,Now
TS 19 NX 10983,3,six,Sedan,Now
TS 85 VL 81013,6,seven,Hatchback,Now
TS 63 XJ 2217,7,three,Hatchback,Later
TS 53 EA 531010,7,five,Hatchback,Now
TS 82 EX 411010,7,five,SUV,Later
TS 48 AJ 1681,3,three,Sedan,Now
TS 50 XV 48106,8,two,Sedan,Now
TS 71 SW 1761,6,five,SUV,Now
TS 90 RK 3815,7,six,Sedan,Now
TS 15 WE 10776,5,seven,Hatchback,Now
TS 73 PD 8756,2,three,Sedan,Now
TS 33 CP 93810,6,seven,Sedan,Now
TS 51 ZM 5873,7,one,SUV,Later
TS 100 UP 6637,8,two,Sedan,Later
TS 70 VF 6521,4,three,SUV,Later
TS 39 HE 1961,3,three,Hatchback,Now
TS 14 QF 7961,7,eight,Hatchback,Later
TS 76 WN 4881,8,five,Hatchback,Now
TS 46 KX 69310,8,eight,Sedan,Later
TS 55 PE 7586,3,six,Sedan,Later
TS 47 QD 1798,7,two,SUV,Now
TS 5 HB 61081,2,seven,SUV,Later
TS 34 TN 76101,4,three,Sedan,Now
TS 97 VR 6873,5,eight,Hatchback,Later
TS 62 RP 41093,6,eight,Hatchback,Now
TS 37 LR 1124,7,one,Hatchback,Now
TS 28 WR 2816,3,four,Sedan,Later
TS 14 PE 10971,6,one,Sedan,Later
TS 22 XP 77109,7,eight,Sedan,Later
TS 81 WO 9875,3,six,Hatchback,Now
TS 48 MH 13104,3,three,Hatchback,Now
TS 5 DP 9942,5,one,Sedan,Now
TS 48 TX 69106,5,eight,Sedan,Later
TS 43 NX 81024,4,one,SUV,Later
TS 17 XR 15104,3,three,Sedan,Later
TS 8 YF 91079,7,eight,Sedan,Now
TS 49 CS 7353,2,five,Hatchback,Now
TS 65 IW 7472,4,four,Hatchback,Now
TS 55 PL 4114,4,five,SUV,Now
TS 73 WU 9524,4,five,SUV,Now
TS 58 CO 8382,2,four,Hatchback,Now
TS 52 HQ 721010,3,six,SUV,Later
TS 78 CE 8945,4,one,Hatchback,Now
TS 95 WO 10327,7,one,SUV,Later
TS 73 RW 82107,5,four,SUV,Now
TS 49 ZB 8728,5,four,SUV,Later
TS 37 GN 5237,5,one,Sedan,Later
TS 74 QQ 3279,2,seven,Hatchback,Later
TS 19 NV 10811,8,six,Hatchback,Now
TS 61 NA 2591,3,one,SUV,Later
TS 5 GB 10685,8,eight,Hatchback,Later
TS 71 PV 9927,7,eight,Hatchback,Now
TS 96 XS 2589,2,five,Sedan,Now
TS 81 VE 10127,2,eight,Hatchback,Now
TS 96 ZV 910310,4,five,Sedan,Now
TS 52 BN 8525,6,one,SUV,Now
TS 48 RY 3236,5,three,SUV,Later
TS 81 QO 5866,4,one,Hatchback,Now
TS 80 IN 51041,2,seven,Hatchback,Now
TS 28 RH 5957,4,six,SUV,Now
TS 89 GY 4379,2,three,SUV,Later
TS 52 WD 3188,6,four,Sedan,Now
TS 32 SP 1678,2,eight,Hatchback,Now
TS 3 SG 8891,3,four,SUV,Later
TS 31 CI 7881,6,eight,SUV,Now
TS 19 QY 1483,7,two,Sedan,Later
TS 51 AI 6183,5,one,SUV,Now
TS 90 CV 2825,8,eight,SUV,Later
TS 35 XE 6271,6,two,SUV,Now
TS 34 SS 101084,6,eight,Hatchback,Now
TS 4 BR 63109,7,five,Hatchback,Now
TS 77 BY 5287,8,five,SUV,Later
TS 31 IK 4581,6,three,SUV,Now
TS 38 KT 8372,8,six,SUV,Later
TS 30 ME 10785,8,five,Hatchback,Now
TS 29 KK 6389,4,seven,Hatchback,Later
TS 91 NY 3996,2,eight,Sedan,Now
TS 49 GL 310910,7,four,SUV,Later
TS 30 AP 9762,8,two,SUV,Now
TS 9 JD 5162,8,four,Hatchback,Now
TS 2 RE 4755,2,five,SUV,Now
TS 65 FD 5949,4,six,SUV,Later
TS 81 MO 15110,4,one,SUV,Now
TS 54 YD 5656,7,seven,Sedan,Now
TS 95 MC 6786,2,seven,Sedan,Later
TS 46 SA 39104,3,eight,Sedan,Now
TS 18 TN 7572,5,two,Hatchback,Now
TS 69 XK 1691,7,eight,Sedan,Now
TS 46 YF 91044,4,seven,SUV,Later
TS 80 ZA 11019,7,four,Hatchback,Later
TS 54 VB 1532,3,six,SUV,Later
TS 71 HO 10242,2,eight,SUV,Now
TS 55 SR 7362,8,seven,Sedan,Later
TS 99 RW 5119,2,two,SUV,Now
TS 60 QX 1627,2,seven,Sedan,Now
TS 11 MU 61014,6,four,Sedan,Later
TS 45 LC 28410,6,six,Hatchback,Later
TS 15 ZZ 3913,8,two,SUV,Later
TS 17 DM 8927,2,five,Sedan,Later
TS 12 AC 6676,2,two,Sedan,Later
TS 44 KS 4599,3,eight,SUV,Now
TS 57 CB 8518,3,four,Hatchback,Now
TS 98 NM 3439,8,five,Sedan,Later
TS 16 TN 10227,8,seven,Hatchback,Later
TS 66 OR 6995,8,six,SUV,Later
TS 31 SS 28310,5,one,Sedan,Later
TS 82 LR 53410,7,three,Sedan,Later
TS 14 XV 95105,6,one,Hatchback,Now
TS 53 UH 75105,8,one,Hatchback,Now
TS 70 IL 6836,8,three,Hatchback,Now
TS 43 PV 9339,5,five,Hatchback,Now
TS 1 CP 9985,5,three,Hatchback,Now
TS 55 WU 9668,2,one,Sedan,Later
TS 3 ZY 10366,2,two,Sedan,Later
TS 58 XD 41053,7,two,Hatchback,Later
TS 85 JF 1852,3,three,Hatchback,Now
TS 19 BZ 5842,4,one,Sedan,Now
TS 47 TR 11610,8,one,Sedan,Now
TS 51 LH 3717,3,six,Sedan,Now
TS 60 GV 8695,7,six,SUV,Later
TS 3 VS 1325,8,seven,Hatchback,Now
TS 18 WK 6816,2,five,SUV,Now
TS 30 GX 9521,4,eight,Sedan,Later
TS 2 FH 8738,7,two,Hatchback,Now
TS 93 YJ 3818,6,one,SUV,Now
TS 32 MI 9333,3,three,Hatchback,Later
TS 40 GC 11081,2,five,Sedan,Later
TS 72 TC 9585,3,six,Hatchback,Now
TS 8 KO 10767,7,three,Sedan,Now
TS 83 FK 2283,5,six,Hatchback,Later
TS 58 XE 67101,3,two,SUV,Later
TS 61 HW 7169,7,three,Hatchback,Later
TS 21 MU 8731,5,eight,SUV,Later
TS 58 SD 3844,6,five,Sedan,Later
TS 62 RL 107108,2,five,Hatchback,Now
TS 71 EH 7839,2,seven,SUV,Later
TS 50 OV 61068,2,five,Hatchback,Later
TS 97 GM 3786,4,five,SUV,Now
TS 46 QA 3615,2,eight,SUV,Now
TS 24 PJ 3319,2,six,SUV,Now
TS 22 YY 7362,5,three,Hatchback,Later
TS 56 UO 1921,8,one,Hatchback,Later
TS 14 ZQ 7652,6,four,Hatchback,Later
TS 54 GM 33102,7,six,Sedan,Later
TS 25 DD 2866,7,five,SUV,Later
TS 47 RP 2511,6,six,Sedan,Later
TS 96 FD 1417,3,five,SUV,Now
TS 41 KY 2795,2,seven,SUV,Later
TS 65 HD 3991,2,eight,Hatchback,Later
TS 17 AG 7712,6,four,Sedan,Now
TS 51 TO 1829,6,eight,Sedan,Later
TS 74 UN 4416,4,six,SUV,Now
TS 57 EB 2141,7,eight,SUV,Now
TS 36 BO 1583,5,four,Sedan,Now
TS 93 NK 2871,6,seven,SUV,Now
TS 34 RZ 23102,5,one,Sedan,Now
TS 72 XA 810210,8,six,SUV,Now
TS 5 RM 4967,2,six,SUV,Later
TS 47 IU 27102,3,eight,Hatchback,Later
TS 76 QZ 9816,5,seven,Hatchback,Later
TS 94 XU 2154,5,two,SUV,Now
TS 19 JO 3353,3,one,SUV,Now
TS 53 NF 6787,7,two,Hatchback,Now
TS 43 RB 3744,8,eight,Sedan,Later
TS 60 QM 9364,2,five,Hatchback,Now
TS 69 PD 10774,7,four,Sedan,Later
TS 50 TW 8921,5,one,SUV,Later
TS 90 ZX 7458,6,seven,Hatchback,Later
TS 51 HG 7249,8,one,Sedan,Now
TS 25 YC 8411,2,three,SUV,Now
TS 76 TX 3941,8,five,Sedan,Now
TS 100 PA 5746,4,eight,SUV,Later
TS 49 OV 4932,8,two,Hatchback,Now
TS 61 WO 5768,2,four,Sedan,Later
TS 1 UV 9841,2,one,Sedan,Now
TS 93 VZ 4101010,7,seven,Hatchback,Now
TS 80 WE 55510,5,six,Sedan,Now
TS 28 MF 98109,2,five,Sedan,Now
TS 72 UA 81075,8,five,Sedan,Later
TS 71 OQ 33105,3,four,Hatchback,Now
TS 20 YG 10584,4,eight,Hatchback,Later
TS 64 SJ 8956,8,six,Sedan,Now
TS 89 KC 7193,4,eight,Sedan,Now
TS 62 ZX 21041,6,two,Hatchback,Later
TS 35 FN 12310,7,eight,SUV,Later
TS 72 OH 8634,3,seven,Sedan,Now
TS 5 SI 68108,2,three,SUV,Now
TS 19 NU 2545,6,three,SUV,Now
TS 80 AC 7648,6,one,SUV,Now
TS 36 AV 89106,6,two,SUV,Later
TS 82 TH 6871,5,four,Hatchback,Now
TS 3 LM 8654,8,three,SUV,Now
TS 39 TY 10247,2,six,Hatchback,Later
TS 5 ET 4599,6,six,Hatchback,Later
TS 1 JP 9354,2,five,Sedan,Later
TS 19 JJ 6146,3,two,Sedan,Now
TS 30 XL 5664,8,two,Sedan,Later
TS 67 MQ 4787,6,three,SUV,Later
TS 26 KA 9391,3,seven,SUV,Now
TS 62 CH 61091,4,seven,Sedan,Now
TS 73 UL 1619,2,six,Sedan,Now
TS 29 RA 4366,4,six,Sedan,Now
TS 67 WU 6924,3,three,SUV,Now
TS 60 WL 8527,4,five,Sedan,Now
TS 13 KF 8529,6,two,SUV,Later
TS 44 YO 1978,4,one,Sedan,Later
TS 8 UO 4662,4,one,Sedan,Now
TS 44 QJ 4969,3,one,Hatchback,Later
TS 66 DX 6844,8,seven,Hatchback,Later
TS 89 OX 61017,5,three,SUV,Now
TS 29 PD 5199,6,eight,Hatchback,Now
TS 55 VS 7263,3,five,SUV,Now
TS 73 UH 10855,7,seven,Hatchback,Later
TS 29 EF 8269,2,four,Sedan,Now
TS 97 LN 103104,2,three,Sedan,Now
TS 14 PX 4318,7,one,SUV,Later
TS 51 DQ 8468,4,eight,SUV,Now
TS 90 XZ 14101,8,four,Hatchback,Later
TS 94 ES 9262,3,eight,Hatchback,Now
TS 96 VU 2882,3,four,SUV,Later
TS 30 UZ 2891,8,eight,Sedan,Now
TS 94 UU 12210,8,two,Hatchback,Now
TS 19 BK 3182,8,one,Sedan,Later
TS 48 CJ 2847,3,four,Sedan,Later
TS 35 YP 5735,6,two,Hatchback,Later
TS 100 GT 7271,8,five,SUV,Later
TS 71 LK 77410,7,three,Hatchback,Now
TS 68 WJ 32110,5,seven,Hatchback,Now
TS 38 EW 34101,5,two,Sedan,Later
TS 12 FH 19102,5,five,SUV,Now
TS 76 TP 691010,4,four,Sedan,Later
TS 68 XE 1856,7,five,Hatchback,Later
TS 13 CH 4682,5,eight,Sedan,Later
TS 58 HP 47105,2,seven,Sedan,Later
TS 1 YL 89104,6,seven,Hatchback,Now
TS 27 EK 7116,3,three,Hatchback,Now
TS 58 LH 9547,6,six,Hatchback,Now
TS 32 MR 4861,8,five,Hatchback,Now
TS 93 ET 9938,7,two,SUV,Now
TS 32 JL 61410,4,six,Hatchback,Now
TS 1 BF 11079,2,two,Sedan,Later
TS 68 AR 31085,4,two,Hatchback,Later
TS 73 RZ 9665,8,seven,SUV,Later
TS 15 XH 62108,3,seven,Sedan,Later
TS 85 MW 5262,7,four,Sedan,Now
TS 5 UU 11064,4,seven,Sedan,Later
TS 97 IP 9863,8,five,Hatchback,Later
TS 74 EG 7128,8,six,Hatchback,Later
TS 42 EQ 1862,4,four,Sedan,Later
TS 77 HC 8839,3,four,SUV,Now
TS 88 CY 7618,8,two,Hatchback,Later
TS 80 VM 26510,7,eight,Sedan,Later
TS 46 LT 6386,5,four,Hatchback,Now
TS 72 JW 4846,8,eight,Sedan,Now
TS 59 SH 8225,7,two,Hatchback,Now
TS 81 WM 9427,7,eight,Hatchback,Now
TS 98 LP 7636,8,three,SUV,Now
TS 69 VY 2552,8,four,SUV,Later
TS 25 BK 106910,7,two,Hatchback,Later
TS 50 DI 3711,8,four,Hatchback,Now
TS 85 UT 1578,4,four,Hatchback,Now
TS 72 FT 4618,7,two,SUV,Later
TS 45 PJ 54104,3,three,Hatchback,Now
TS 59 DE 741010,3,three,Sedan,Later
TS 40 WX 81109,8,six,SUV,Later
TS 35 PN 6535,4,four,Hatchback,Now
TS 29 ZH 8184,5,five,Sedan,Now
TS 68 LZ 1495,8,four,SUV,Now
TS 46 II 6851,4,five,Hatchback,Later
TS 85 CZ 1787,4,six,Sedan,Later
TS 53 QA 5374,2,five,Hatchback,Now
TS 19 JW 5856,3,seven,Hatchback,Later
TS 70 BO 71078,8,five,Sedan,Later
TS 84 KB 4767,6,one,SUV,Now
TS 83 TQ 81014,3,one,Hatchback,Later
TS 58 CI 5293,4,three,Sedan,Later
TS 65 GQ 21051,7,six,SUV,Now
TS 17 TV 6977,4,seven,Hatchback,Now
TS 29 YM 2954,5,eight,SUV,Now
TS 13 XA 81069,7,seven,SUV,Later
TS 55 HQ 47810,3,eight,Hatchback,Later
TS 3 CF 1564,2,two,SUV,Now
TS 2 BD 10878,5,six,Hatchback,Later
TS 2 RD 10416,2,five,SUV,Now
